iter	Passed	Remaining
0	91	36360
1	110	21917
2	134	17788
3	166	16436
4	188	14912
5	202	13314
6	217	12231
7	232	11379
8	247	10763
9	262	10226
10	279	9898
11	296	9594
12	311	9272
13	326	8994
14	341	8752
15	355	8526
16	372	8401
17	391	8305
18	410	8231
19	429	8153
20	445	8034
21	459	7900
22	474	7771
23	487	7644
24	501	7517
25	515	7417
26	533	7373
27	550	7307
28	564	7220
29	579	7145
30	593	7070
31	609	7005
32	623	6929
33	637	6860
34	654	6821
35	670	6775
36	685	6724
37	699	6663
38	713	6604
39	728	6558
40	744	6515
41	758	6463
42	772	6417
43	786	6361
44	799	6308
45	812	6256
46	827	6215
47	842	6175
48	854	6124
49	868	6078
50	881	6035
51	895	5992
52	909	5952
53	920	5898
54	934	5863
55	949	5831
56	963	5795
57	974	5744
58	985	5693
59	998	5655
60	1012	5626
61	1024	5587
62	1036	5543
63	1048	5503
64	1059	5459
65	1070	5417
66	1082	5381
67	1094	5343
68	1105	5303
69	1115	5259
70	1126	5221
71	1137	5183
72	1149	5151
73	1160	5114
74	1170	5071
75	1181	5035
76	1192	5000
77	1202	4963
78	1215	4939
79	1227	4908
80	1238	4877
81	1249	4844
82	1260	4813
83	1271	4783
84	1282	4754
85	1295	4728
86	1307	4703
87	1319	4678
88	1331	4653
89	1343	4627
90	1355	4601
91	1367	4577
92	1380	4557
93	1393	4534
94	1404	4508
95	1414	4480
96	1426	4454
97	1436	4425
98	1447	4400
99	1461	4384
100	1473	4363
101	1486	4344
102	1498	4319
103	1508	4294
104	1519	4270
105	1530	4244
106	1541	4220
107	1553	4200
108	1564	4177
109	1575	4152
110	1587	4131
111	1598	4111
112	1612	4094
113	1624	4074
114	1635	4053
115	1647	4033
116	1659	4013
117	1671	3994
118	1683	3975
119	1693	3951
120	1705	3933
121	1718	3915
122	1729	3895
123	1740	3874
124	1752	3856
125	1764	3838
126	1777	3821
127	1790	3804
128	1802	3785
129	1816	3772
130	1829	3756
131	1840	3736
132	1853	3720
133	1864	3701
134	1875	3681
135	1887	3663
136	1900	3648
137	1912	3630
138	1921	3608
139	1933	3590
140	1946	3575
141	1958	3558
142	1969	3539
143	1980	3520
144	1991	3501
145	2001	3482
146	2013	3465
147	2025	3449
148	2039	3436
149	2051	3419
150	2062	3401
151	2075	3386
152	2088	3371
153	2099	3354
154	2110	3335
155	2121	3318
156	2133	3301
157	2144	3284
158	2155	3266
159	2168	3252
160	2180	3236
161	2193	3222
162	2206	3208
163	2218	3193
164	2230	3176
165	2242	3161
166	2255	3146
167	2267	3130
168	2281	3118
169	2293	3102
170	2305	3087
171	2318	3073
172	2329	3056
173	2341	3040
174	2353	3026
175	2365	3010
176	2377	2995
177	2390	2980
178	2401	2965
179	2414	2950
180	2427	2936
181	2439	2922
182	2452	2908
183	2463	2891
184	2473	2874
185	2485	2859
186	2496	2844
187	2508	2828
188	2521	2814
189	2533	2800
190	2546	2786
191	2557	2770
192	2568	2755
193	2581	2741
194	2592	2725
195	2604	2711
196	2616	2696
197	2628	2682
198	2640	2666
199	2651	2651
200	2663	2636
201	2674	2621
202	2685	2605
203	2696	2591
204	2710	2578
205	2723	2565
206	2735	2550
207	2747	2535
208	2757	2520
209	2768	2505
210	2780	2490
211	2792	2476
212	2804	2461
213	2816	2447
214	2827	2433
215	2839	2418
216	2851	2404
217	2864	2391
218	2876	2377
219	2888	2363
220	2900	2349
221	2911	2334
222	2922	2319
223	2936	2307
224	2948	2293
225	2960	2279
226	2970	2264
227	2981	2249
228	2992	2234
229	3003	2219
230	3015	2205
231	3025	2190
232	3036	2176
233	3049	2163
234	3061	2149
235	3073	2135
236	3086	2123
237	3100	2110
238	3112	2096
239	3124	2082
240	3135	2068
241	3146	2054
242	3157	2040
243	3169	2026
244	3180	2012
245	3193	1999
246	3204	1985
247	3216	1971
248	3228	1957
249	3240	1944
250	3251	1930
251	3263	1916
252	3275	1903
253	3286	1888
254	3297	1874
255	3309	1861
256	3321	1848
257	3331	1833
258	3342	1819
259	3353	1805
260	3363	1791
261	3375	1777
262	3386	1764
263	3398	1750
264	3409	1737
265	3421	1723
266	3432	1709
267	3443	1695
268	3453	1682
269	3463	1667
270	3476	1654
271	3487	1641
272	3497	1626
273	3508	1613
274	3518	1599
275	3529	1585
276	3540	1571
277	3550	1558
278	3561	1544
279	3571	1530
280	3582	1517
281	3594	1503
282	3605	1490
283	3616	1476
284	3629	1464
285	3640	1450
286	3651	1437
287	3661	1423
288	3673	1410
289	3685	1398
290	3697	1384
291	3709	1371
292	3719	1358
293	3731	1345
294	3741	1331
295	3753	1318
296	3764	1305
297	3776	1292
298	3788	1279
299	3797	1265
300	3807	1252
301	3817	1238
302	3829	1225
303	3839	1212
304	3849	1199
305	3860	1185
306	3870	1172
307	3880	1159
308	3891	1146
309	3902	1132
310	3912	1119
311	3923	1106
312	3934	1093
313	3946	1080
314	3957	1067
315	3968	1054
316	3979	1041
317	3989	1028
318	3999	1015
319	4009	1002
